2026-09-11T17:36:29.319Z {"action":"login_success","userId":"U-ADMIN","username":"admin","ip":"::ffff:127.0.0.1"}
2026-09-11T17:43:29.893Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 1 conflicts"}
2026-09-11T17:43:29.907Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 1 conflicts"}
2026-09-11T17:43:29.917Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"1 accepted, 0 conflicts"}
2026-09-11T17:43:29.922Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"1 accepted, 0 conflicts"}
2026-09-11T17:43:30.521Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:31.269Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:32.004Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:32.767Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:33.509Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:34.253Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:34.253Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:34.995Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:35.786Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:35.790Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:36.561Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:36.565Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:38.009Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:38.010Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:41.828Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:41.831Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:41.943Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 1 conflicts"}
2026-09-11T17:43:41.957Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 1 conflicts"}
2026-09-11T17:43:41.966Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"1 accepted, 0 conflicts"}
2026-09-11T17:43:41.971Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"1 accepted, 0 conflicts"}
2026-09-11T17:43:42.602Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:43.329Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:44.080Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:44.839Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:45.580Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:46.332Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:46.333Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:47.085Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:48.291Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:48.295Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:48.333Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 1 conflicts"}
2026-09-11T17:43:48.351Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 1 conflicts"}
2026-09-11T17:43:48.367Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"1 accepted, 0 conflicts"}
2026-09-11T17:43:48.373Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"1 accepted, 0 conflicts"}
2026-09-11T17:43:49.002Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:49.732Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:50.474Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:51.223Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:51.974Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:52.715Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:52.716Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:53.452Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:54.237Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:54.239Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:54.984Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:54.987Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:56.440Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:56.441Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:45:09.247Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:45:09.254Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:45:09.292Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 1 conflicts"}
2026-09-11T17:45:09.310Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 1 conflicts"}
2026-09-11T17:45:09.326Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"1 accepted, 0 conflicts"}
2026-09-11T17:45:09.332Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"1 accepted, 0 conflicts"}
2026-09-11T17:45:09.976Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:45:10.712Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:45:11.448Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:45:12.218Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:45:12.967Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:45:13.720Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:45:13.721Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:45:14.474Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:45:15.640Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:45:15.643Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:45:15.720Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 1 conflicts"}
2026-09-11T17:45:15.742Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 1 conflicts"}
2026-09-11T17:45:15.758Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"1 accepted, 0 conflicts"}
2026-09-11T17:45:15.763Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"1 accepted, 0 conflicts"}
2026-09-11T17:45:16.366Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:45:17.113Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:45:17.846Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:45:18.579Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:45:19.344Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:45:20.077Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:45:20.078Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:45:20.820Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:45:21.573Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:45:21.576Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:45:22.379Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
